-2,-1,-2,1,2,6,4,0
-1,-3,-2,-2,-1,-6,-7,-3
-1,-1,0,-3,-5,-4,-4,-1
-2,-1,-4,0,2,2,2,-1
0,-2,0,1,-1,0,-2,1
-3,-1,-3,-1,-5,-5,0,-2
-2,-2,2,1,0,-1,-1,-2
0,-1,0,-1,1,0,1,1
-2,-2,-1,-4,-4,-4,-5,-2
0,1,-1,0,0,2,1,-2
0,-1,-1,1,4,4,1,1
-1,0,-2,0,-1,-3,-2,-1
-4,-2,-2,-1,1,-2,-4,-4
2,-1,1,-1,-2,1,0,1
-1,-1,-1,1,-2,0,1,0
-1,-3,-2,-2,-1,-3,-8,-6
0,1,-1,0,-3,-3,-1,-2
-3,0,-3,1,-1,1,0,-2
-1,-2,-3,-2,0,0,1,-1
0,0,0,-1,-1,0,1,3
-3,-1,-1,0,-4,-3,-3,-2
-3,0,-1,1,-1,1,1,1
0,1,-2,-1,-4,-1,1,1
0,-3,-1,-4,-1,-2,-4,-2
-1,-2,-1,-2,-4,-6,-7,-1
0,-1,1,-1,-3,0,2,1
-1,-1,-2,0,2,2,1,-2
-2,0,1,1,1,1,2,2
-1,1,1,1,0,-1,0,2
-3,-3,-3,-5,-2,-5,-8,-4
-1,-1,0,-3,-3,-4,-7,-4
-1,0,-1,0,0,2,1,-1
0,-2,-2,3,0,3,2,-1
-1,-1,0,-1,-2,-2,0,-1
-1,-2,-2,-3,-3,0,2,1
-1,-1,-1,-1,-1,-3,-2,-1
-1,-2,0,-3,2,2,1,-2
-2,-1,0,-1,1,1,1,1
-1,0,-1,1,1,-1,-3,-3
0,1,1,0,-4,0,1,0
-2,-2,-4,-3,-5,-8,-5,-3
0,3,1,-1,-3,-2,-4,-3
0,-1,-1,0,2,3,2,1
-3,-2,-1,0,2,2,2,1
-1,0,-2,-1,-4,-1,-6,-3
-3,0,-2,-3,-4,-7,-6,-3
-2,-2,-2,-1,-3,-5,-4,-1
-3,0,-1,0,1,1,3,0
-1,0,1,0,1,5,4,0
-1,-2,-2,-2,-2,1,-1,-1
0,-2,-1,0,-4,-7,-3,-1
-2,-1,-1,-3,-2,-1,1,0
0,-2,-3,-2,3,0,-1,1
0,-1,0,-1,3,5,5,2
-4,-3,-4,-5,-5,-2,-3,-6
0,0,0,1,-1,-3,-6,-2
-1,-1,0,-1,-3,-2,-1,-1
0,-3,0,1,2,1,1,1
1,-1,-1,-2,-3,-1,-1,-3
-1,-1,1,-2,-4,-4,-7,-3
-2,-2,-2,-1,-3,-4,-4,-1
-1,-2,-1,3,1,-1,3,1
-1,0,0,-1,-2,2,5,1
-1,-4,-3,-4,-2,-4,-4,-1
-1,2,1,0,-1,-2,-1,1
0,-1,-2,1,0,2,0,0
-3,0,-1,-1,0,-2,0,-2
0,0,-1,-2,1,0,-4,-2
0,-1,0,-1,-1,1,3,2
-1,-1,-1,-2,-4,-4,-4,-2
0,0,0,0,4,1,1,1
1,-3,-2,0,1,0,2,-2
-2,-1,-2,0,-2,-1,-2,-3
-1,-2,-1,0,0,-2,-2,-3
0,0,-1,-1,-2,-3,-1,0
-2,-1,-2,-4,-3,0,0,-1
0,0,0,-1,-1,-2,-3,-2
-2,0,-2,0,1,2,-2,-1
-2,-1,0,2,3,-1,0,1
-3,-1,-3,-3,-2,-5,0,-2
0,-1,-2,-2,-5,-4,-4,-4
0,0,-3,-2,-3,-2,-2,-2
0,-2,0,2,3,5,2,2
0,1,0,2,-1,0,-3,0
-1,0,-1,-2,-1,-3,0,1
-2,-2,-2,-2,-3,-4,-1,-1
-1,-1,-2,-4,-5,-4,-3,0
-2,-2,0,0,0,1,0,-2
-1,-1,-1,2,4,3,4,0
0,-2,-1,0,0,2,1,1
-1,-2,-1,-3,-3,-4,-1,-3
-1,-3,-3,-2,-6,-5,-7,-4
0,-1,1,0,0,-3,-2,-1
1,-1,-1,-1,1,0,3,1
0,1,0,3,3,2,0,1
0,0,-1,0,-2,3,3,0
-1,-3,-2,-4,0,-2,-2,-3
0,1,1,-2,-4,-1,-4,-3
-3,-2,-3,-4,-5,-2,-2,-5
0,1,1,0,1,-1,1,-1
-1,-1,-1,-1,-1,1,2,-1
0,-1,-1,-1,1,1,0,0
-2,-1,-1,-2,-4,-6,-4,0
0,0,-1,-4,-2,0,1,1
-2,-1,-2,1,2,0,0,-2
0,2,-1,1,0,0,0,-1
0,1,0,1,3,3,2,1
0,-2,-2,-1,-5,-9,-6,-2
-3,-3,-2,-4,-3,-3,-4,-2
0,-1,0,-1,-1,-2,-2,-1
-2,0,-2,-2,-2,-1,1,-1
0,-1,0,0,1,-1,3,2
-2,0,-1,-2,-1,2,-3,-1
-3,0,-1,-3,-3,-3,-2,-3
-2,-1,-1,-2,2,2,0,1
1,0,-2,1,-2,1,1,2
-2,0,-3,-1,-2,-3,-4,-2
-3,-4,-2,-3,-2,1,-2,-1
0,-2,0,-1,-4,-4,-6,-3
-1,0,0,-2,0,-3,0,-2
0,0,1,0,2,1,3,1
-2,0,-2,0,0,1,-3,-2
0,-2,0,-1,-2,-3,0,2
-1,-2,-1,1,4,4,-2,-2
-1,-1,-2,-2,-4,-2,2,0
0,0,-1,0,0,-3,-1,2
-1,-2,-1,-2,-3,-3,-2,-5
-2,-2,-2,-3,-5,-1,-2,-1
-1,0,-2,0,2,0,0,-1
-1,-3,-2,1,-5,-1,0,-2
0,-1,-1,-1,0,1,0,-1
-4,-2,-2,-1,-2,-2,-2,-1
0,-1,1,2,3,4,2,0
-2,-2,-1,-2,-5,-6,-4,1
0,0,0,-6,-8,-7,-3,-3
-1,-1,-1,0,-2,-4,-2,-3
-1,-1,-1,-1,-1,1,1,0
-1,0,1,1,4,5,6,3
-2,-2,-2,-2,0,-3,-7,-2
1,-1,-1,0,1,-2,-1,0
0,0,-1,-2,-6,-1,0,0
-1,-2,-1,-1,0,1,1,-2
-2,0,-3,0,1,0,-1,-3
-2,-1,-2,-3,-3,0,-1,0
0,-1,1,0,4,1,1,0
-1,0,-1,-2,-3,-10,-7,-1
-2,-1,-2,-3,-2,-3,-1,-1
-1,-1,-1,-2,1,2,-1,-1
-1,0,-1,-1,0,3,0,0
-1,0,1,-2,-2,0,0,-2
1,-2,-1,-2,-4,-4,-1,-1
0,0,-1,-3,-5,-5,-3,-2
-2,0,-1,1,-1,2,1,0
0,-1,-2,-1,3,-1,-5,0
-1,-1,-1,-2,0,3,-1,-1
0,0,-2,-3,0,1,1,-1
-2,-1,-1,-3,-5,-6,-9,-4
-1,1,0,-2,-3,1,2,0
-1,0,1,2,6,5,6,4
-1,-1,-1,-1,1,0,-2,1
-1,-2,-1,-3,-4,-7,-7,-5
-1,0,-2,-1,-6,-6,-5,-6
-1,1,1,1,-1,4,0,1
-1,0,1,4,4,5,5,1
1,1,0,3,2,3,4,3
-1,-2,-1,-2,-4,-10,-1,-1
-2,-2,-3,-3,-8,-7,-10,-7
-2,1,-1,-2,0,-4,-4,-3
-1,0,0,-1,2,6,5,-1
0,-1,-1,1,5,4,1,-1
-1,0,-1,0,2,3,5,2
0,-2,-2,-4,-9,-5,-6,-3
-3,-3,-2,-4,-8,-12,-9,-5
0,0,-1,0,3,3,3,2
1,0,-1,1,5,4,2,0
-2,-2,1,0,1,0,1,-1
0,-1,0,-1,-2,-4,2,0
-4,-1,0,-1,-4,-1,-2,-3
0,-1,0,1,0,0,0,1
1,0,0,1,4,1,3,1
-2,-3,-3,-2,-4,-4,-8,-4
-1,-1,-1,-2,-3,-4,-7,-1
0,2,0,-1,-3,-3,-1,-1
-2,-1,1,-1,0,-2,0,-2
0,1,1,0,1,-1,3,2
1,-1,0,-2,3,5,7,3
0,-2,-2,-3,-8,-8,-10,-3
-2,-1,-4,-3,-2,-2,-2,-2
-2,2,-1,0,1,1,-3,-3
-1,0,-1,-2,0,0,2,-1
-1,-1,0,0,4,3,3,2
-1,-3,-2,0,2,2,2,1
-1,0,-2,0,0,0,3,1
0,-1,-4,-1,1,-4,1,-1
-4,-2,-2,-4,-8,-8,-10,-6
-1,-2,-1,-2,-5,-7,-9,-5
-1,0,-1,-2,-3,-2,1,1
-1,-2,2,0,1,4,5,3
0,-1,-1,1,3,3,4,0
0,0,1,0,-2,0,-1,-1
-2,-3,-1,0,2,0,0,-1
-1,-2,0,1,-4,-5,-2,-2
-3,-2,-2,-1,-4,2,1,-1
0,0,-1,-2,-3,-1,-4,-3
-2,-1,-1,-2,-5,-10,-8,-4
-2,-2,-1,-1,1,2,0,1
1,2,-2,0,0,2,3,-2
-2,0,-2,0,1,2,3,0
1,-3,0,0,2,2,2,1
-1,-1,-3,-1,0,0,-3,-2
-3,-1,0,-3,-1,-5,-4,-4
-1,-2,-2,-3,-5,-8,-4,0
-2,-2,-1,-4,-1,1,1,-1
0,-2,0,-1,-2,-1,0,-3
1,1,1,1,2,1,1,2
-1,-2,-2,-1,0,1,1,-1
0,-1,-2,-1,0,-2,-2,-2
-1,-1,-2,0,-1,2,0,-1
1,0,0,-1,-2,-2,3,2
-3,-3,-2,-4,-5,-9,-10,-5
0,1,2,1,3,4,1,1
-2,-1,-1,-2,-4,-1,-2,-4
-2,-4,-2,0,2,-2,-2,-2
-1,-1,0,0,0,1,1,0
-3,-1,-3,-1,-3,-4,-4,-2
-2,-1,-2,0,-2,-1,-2,-1
-2,0,1,-1,2,4,2,-1
0,-2,-2,-1,0,0,1,2
1,0,-1,-1,-4,-2,-2,-1
-1,0,-3,-3,-2,-4,-3,-2
-1,-2,0,-1,0,-4,-2,-1
0,0,-1,-2,1,3,2,1
0,-1,0,-3,-4,-2,-2,-1
-1,0,-1,0,0,-1,-1,0
-1,-4,-2,-1,2,1,3,0
0,-1,1,-1,-4,-2,-2,-1
-4,-2,0,-2,-2,-2,-4,-4
-1,-2,-1,-3,-4,-5,-4,-2
0,-1,-1,-1,-3,-2,-3,-1
-1,0,1,3,5,5,5,4
-1,-2,-2,-1,0,-1,1,1
-1,-2,-2,-2,-1,-2,-4,-2
-1,0,-2,-1,-2,-2,-3,0
0,-1,-1,0,1,2,1,1
0,-3,-1,-4,-2,-2,-1,-3
-1,-1,-2,0,0,-2,-2,-2
-2,0,-1,-1,-3,-1,2,0
-1,-1,-1,1,-1,-1,0,-1
0,-1,-2,1,-2,-1,-4,-2
-1,1,0,-2,0,1,2,1
-1,-1,-2,-3,-3,-3,-4,-3
-1,-2,-1,-3,-2,-2,0,1
0,-1,-2,-2,-2,2,5,1
1,-2,-2,-2,-4,-5,-8,-5
-1,-1,0,-1,-3,-5,-3,1
-2,-2,-2,-1,3,2,-4,-1
-2,-1,-1,-1,0,1,5,2
-1,-2,-2,-5,-7,-6,-5,-3
-4,-1,-1,-3,-1,-2,-4,-3
0,-1,-1,-2,-1,-2,-2,-2
-1,-1,-1,0,2,4,1,2
-2,-1,1,0,2,6,2,1
-2,0,-5,-1,1,0,0,-2
0,-1,-1,-1,-2,-3,-2,0
-2,-2,-2,-1,-8,-8,-7,-4
1,2,1,1,1,3,2,2
-1,-1,1,1,0,2,-2,-2
-2,-2,-2,1,2,1,-1,-3
1,1,2,1,-6,0,2,0
-2,0,-4,-2,-2,-8,-5,-2
1,-1,0,0,0,1,4,0
-2,-1,0,-1,0,2,0,-1
1,-1,1,-1,2,-1,-1,1
-1,-1,-1,-1,-1,3,5,2
-1,-3,-2,-1,-3,-4,-4,-1
-3,-2,-5,-2,-2,-5,-3,-2
-1,-1,0,0,0,-1,-6,-5
-3,-2,-2,1,0,2,4,0
0,-3,-2,0,0,0,-1,0
-1,-2,-1,-1,-3,-5,-3,-3
-2,-1,-3,-1,2,2,-1,-2
0,0,1,1,-1,-4,5,1
0,0,0,0,1,0,-7,-3
-2,-1,-2,-1,-3,-3,-3,-1
0,-2,-2,-3,1,1,-2,-2
0,-1,-1,-1,0,0,1,-1
0,-1,-1,0,-1,0,2,4
-1,0,-1,-2,-3,-1,0,0
-1,-1,0,-1,1,-1,-1,0
-1,-2,0,-1,0,2,-2,-1
0,0,2,1,1,2,1,1
-2,-1,-3,-5,-4,-2,-2,-3
-4,-2,-2,-5,-6,-7,-10,-3
-1,-1,0,-1,0,-2,-1,-2
0,-2,0,-2,-2,1,1,0
-1,0,1,1,3,4,7,3
-2,-1,-3,-2,0,-2,-3,-2
-3,-2,-3,-3,-7,-8,-8,-4
-1,1,-1,0,2,1,2,-1
1,0,2,0,-2,-2,-3,-2
0,-1,-2,-1,1,1,1,-1
1,-1,1,1,-3,-4,-1,1
-1,-2,-2,-1,-3,-1,3,-2
-1,-1,0,0,3,1,2,1
-1,-1,0,3,2,2,2,1
0,-2,-2,-5,-2,0,-6,-4
-1,-2,-2,-6,-9,-8,-5,-2
-2,-2,-2,-4,-4,-7,-3,-3
1,-1,-1,2,-1,2,3,1
-1,1,-1,1,4,4,4,1
0,-1,1,3,4,2,2,1
0,-1,-1,1,-1,1,1,0
-4,-3,-2,-5,-11,-13,-11,-6
0,0,2,-1,-3,-2,-1,-2
-1,0,-1,-3,-1,-1,-3,-1
1,-1,-1,1,1,2,-2,-2
2,0,1,1,4,7,7,2
-1,-1,2,3,6,5,4,5
1,-1,-2,-2,3,1,3,1
-4,-2,-4,-8,-16,-16,-13,-9
-3,0,-2,-3,-4,-7,-6,-1
-1,0,-2,-2,-5,-6,-6,-3
-2,-2,-1,1,4,6,4,0
0,-1,0,2,8,8,8,4
1,-2,-3,-1,2,2,0,0
-2,-3,-2,0,-2,-2,-1,-1
-1,-1,-1,-3,-6,-5,-5,-2
-3,-1,0,-2,-3,-4,-1,-2
-2,-2,0,-1,1,0,-4,-3
1,-2,-1,2,1,3,1,0
-3,-2,-2,-2,-5,-3,-3,-2
-1,0,-2,-2,-1,-1,-2,0
1,1,1,-1,-1,-3,5,0
-3,-2,-1,-2,-4,-1,1,-2
-1,-1,-1,0,-2,-2,-1,-3
0,0,-1,0,1,-1,-2,1
-2,-2,-2,-3,-9,-8,-5,-4
0,-2,-2,-3,-1,-3,-3,-2
1,1,-1,-1,-1,0,0,0
0,0,0,1,5,9,5,1
1,1,0,1,4,8,7,3
-3,-3,-2,-2,-5,-9,-4,0
0,-1,-2,-3,-2,-5,-5,-2
0,-2,-1,-1,1,-1,0,0
-3,0,-1,-1,1,4,2,1
-2,0,0,0,-2,-3,-5,-3
-3,-3,-1,-2,-3,-3,0,-3
-1,-2,-1,0,-4,-3,-4,-3
-1,-2,-3,-4,-8,-7,-5,-1
0,1,1,0,7,8,7,3
0,0,0,1,0,1,0,0
-2,-2,-2,-4,-7,-7,-8,-5
-1,-1,0,-1,-1,1,-1,1
0,-1,-2,-1,0,-2,-2,-1
-3,-3,-2,-2,-3,-4,-3,-3
0,0,1,1,2,-2,4,3
0,0,0,2,5,3,5,-2
-1,0,-2,0,1,4,-4,-1
1,-1,1,-2,-5,-1,1,1
-2,-1,0,-1,-3,-3,-2,0
-3,-1,-3,-2,-2,-3,-4,-2
-1,-2,-2,-2,0,-5,0,0
-2,-1,-1,0,2,2,-2,-2
1,-1,-2,-4,-1,0,-3,-3
-1,-2,-1,0,0,-2,1,2
-3,-2,-3,-5,-5,-3,-3,-2
-3,0,-2,-1,-2,-4,0,-1
-1,-1,0,-1,3,0,-2,0
0,0,2,2,4,4,2,0
0,-2,-2,-1,1,-1,-1,-2
-1,-3,-3,-5,-6,-8,-4,-2
-1,0,-1,0,-4,2,4,0
-1,0,0,-2,2,3,-3,-3
0,0,1,1,-3,-2,-6,-1
1,1,0,1,3,2,0,-1
-3,-3,-2,1,-3,-7,-5,-1
-2,-2,-2,-2,-4,-3,0,-1
0,0,0,-1,1,2,3,0
-1,1,-1,-2,-3,1,1,-1
1,-1,-1,0,0,3,1,0
-1,-1,-3,-2,-5,-7,-3,-2
-1,-1,-3,-2,-1,1,-1,-1
-1,-1,0,2,4,3,-1,0
0,-1,-1,-2,1,1,0,1
-1,-2,-1,-1,-1,-1,1,0
2,2,-2,-1,-1,1,-1,-2
-3,-3,-2,-3,-7,-11,-10,-4
-1,-1,-1,-4,-1,-3,0,-2
-1,0,0,0,3,1,-4,0
-3,-3,-2,0,3,3,4,2
0,0,0,2,3,6,4,1
-1,-1,-1,-2,-5,-7,-5,-3
0,-4,-1,-4,-1,-3,0,-1
-2,-2,0,-1,-3,-3,-1,1
0,-3,-2,1,1,0,-2,-1
-1,-1,-1,1,2,3,2,1
-1,0,0,-1,-1,-1,-2,-1
-1,0,0,0,-3,-3,-4,-1
-1,0,-1,-1,-2,-2,1,3
-3,-1,-1,-2,1,0,-3,-2
0,-3,-2,0,3,0,-1,-1
1,-2,0,-4,-4,-5,1,0
-2,-1,0,0,-1,-2,-3,-3
1,-1,0,-1,-2,-1,2,0
-1,-2,-2,-1,1,2,-1,0
-1,-2,-3,-1,-1,-1,-9,-2
-1,1,-1,-1,-2,-2,1,0
-2,-3,-1,0,-1,2,1,0
0,-2,0,0,-3,-4,-1,-2
-2,-2,-2,-2,2,2,2,0
-1,1,0,1,2,3,0,0
-2,0,-2,-2,-2,-2,-1,-3
-3,-1,-3,-3,-5,-5,-2,-2
-2,-1,-1,0,-2,-1,-1,-3
-1,0,-2,-2,-1,-1,-3,-1
-2,0,-1,1,3,1,1,-1
-2,0,-1,-1,0,0,-2,-2
1,-1,1,0,0,-1,2,-1
-1,-3,-2,-1,2,2,0,1
-1,0,-1,-2,-2,-1,-3,0
-3,-2,-2,-5,-7,-10,-12,-5
-2,-1,-2,-2,-4,-8,-7,-5
0,0,-1,-3,1,1,3,-1
-1,-2,-2,-1,-2,2,0,0
-2,1,1,3,6,9,8,2
0,1,1,1,-1,-1,-2,0
-3,-3,-1,-4,-1,-1,-2,-2
-1,0,-2,-2,-1,-1,-2,-2
0,-2,-3,-1,-4,0,2,-1
-1,0,1,1,1,0,-1,1
-1,-1,-2,0,-2,-3,-2,-3
-1,0,-1,-2,0,0,-1,1
0,-2,-1,0,0,-1,-3,-2
-2,0,-1,-4,-1,3,4,-1
0,0,-1,-1,-4,-5,-5,-1
-1,1,-1,0,-5,-10,-3,-1
-2,-1,-3,0,1,2,4,1
0,0,-1,0,-2,0,1,0
0,-3,-1,0,5,4,-2,-1
2,-1,1,-2,-5,-2,-1,-2
-3,-2,-1,-4,-7,-9,-6,-6
0,-1,0,1,0,3,6,2
0,-1,-2,2,6,5,3,1
-1,0,1,0,-2,-1,-3,-2
-3,-3,-3,-6,-9,-9,-10,-5
-2,-4,-2,-4,-6,-4,-4,-3
-2,-2,-3,-1,-1,-3,-1,-1
-2,0,-1,1,7,8,3,1
1,1,1,2,8,7,7,4
-1,-2,-2,-2,-5,-8,-11,-5
-2,-1,-2,-2,-3,-5,-3,-1
0,-2,-2,-1,-1,0,-3,-1
0,1,-3,-4,0,-2,1,-1
0,-1,1,-1,1,4,5,1
1,-1,-2,-2,-4,-3,-3,1
0,1,-1,-1,3,2,-3,-3
1,0,-1,0,-6,-1,2,1
-1,0,-1,-2,0,0,-4,-3
-2,-1,0,1,-1,-2,-1,-3
-2,-1,-1,-1,-2,0,1,2
-1,-2,0,0,-2,-3,-1,0
0,-1,-1,0,0,-5,-2,-1
-1,0,0,-4,-5,0,-1,0
-2,-2,-1,-1,1,-1,-1,-2
-1,-1,-1,-3,2,5,2,0
-2,-2,-4,-1,-3,-3,-3,0
-1,-1,-2,-2,-2,-4,-5,-3
0,-2,-1,0,-1,-1,0,-2
-1,0,1,1,1,1,1,-1
-2,-1,-2,-2,0,-2,1,2
-1,-2,-1,-1,-1,0,-1,-2
-1,-1,-3,-3,-5,-4,-5,-3
0,0,-1,1,2,-3,0,-1
-1,1,1,2,4,4,4,0
-2,-2,0,1,-3,-4,0,-1
-3,-3,-1,-3,-6,-3,0,-2
-1,-1,-3,-2,-3,-4,-6,-1
-1,0,-2,0,-2,-5,-5,-2
0,0,-1,1,0,2,3,1
0,-1,0,-1,3,3,4,1
1,-2,-1,0,-4,-2,-3,-2
-3,-3,-3,-5,-2,-3,-4,-3
1,1,1,1,-3,0,0,0
-2,-2,-1,0,0,-4,-3,-2
0,1,0,-1,-2,4,0,1
0,-1,-3,-2,-3,-4,-5,-2
-2,-1,-1,0,-1,0,-1,-2
0,0,-2,2,7,3,3,3
0,-2,0,0,-3,-1,0,-1
-2,-2,-3,-1,-2,-1,-4,-4
-1,-1,-3,-6,-9,-7,-6,-4
-2,-2,-1,0,-7,-6,-2,-1
-1,0,-2,0,6,2,2,-1
-2,0,-1,2,0,4,4,0
-2,-2,-1,-2,1,-1,1,0
0,0,0,-2,-1,-3,-5,-2
-3,-4,-3,-4,-6,-6,-7,-6
0,-1,1,-1,1,2,1,-1
0,0,0,1,0,2,2,-1
0,-2,-1,-2,-1,1,1,0
0,-2,0,-2,-3,-2,-2,-1
0,-2,0,0,-1,-3,-2,1
-3,-2,-3,-1,1,-3,-5,-3
-1,0,-1,-2,0,4,3,0
-2,1,1,2,-1,1,3,1
-2,-3,-3,-2,-4,-5,-4,-1
-1,-2,-1,-2,-1,-4,-2,0
-2,0,-1,-3,-2,0,-3,-2
-1,-1,-1,0,4,0,-2,-1
0,1,-1,1,2,2,4,0
-1,-2,-1,-2,-4,-1,1,-1
-2,-3,-3,-1,-7,-8,-7,-5
-2,0,-1,0,1,0,1,-1
0,0,0,1,0,1,0,0
0,1,-1,1,3,2,3,3
0,-1,-1,-1,-1,0,1,-1
-3,-3,-3,-3,-5,-6,-8,-2
-1,-3,1,-1,-1,-1,-1,-1
0,-1,-1,2,2,4,2,0
0,-1,0,-2,-1,0,1,2
0,0,-2,1,-2,-2,1,0
-1,-2,-3,-3,-1,-2,-3,-2
-1,-2,1,-1,-4,-4,-4,0
-2,0,-1,0,-6,-2,-1,-1
-2,-3,-2,0,4,0,1,-2
-1,-1,0,-2,-1,2,1,-1
-1,0,0,4,-1,2,3,2
1,1,-1,-2,0,-2,-4,-2
-1,-2,-2,-3,-4,-8,-10,-3
-1,-1,-2,-1,0,2,2,1
0,1,-1,1,1,1,0,-4
-2,0,-1,-3,3,4,4,2
-1,-1,0,-4,-5,-1,0,-2
0,-2,-1,-2,-2,-5,-5,-1
-3,-1,0,-5,-3,0,0,-2
-2,-2,-2,1,0,-1,1,0
0,0,0,-1,2,0,0,0
0,-3,-1,-3,-1,-1,3,-1
1,0,-1,-1,1,0,-1,-2
-2,-1,-2,0,-5,-6,-7,-5
0,-2,-1,-1,2,4,1,-2
1,1,0,-1,-1,0,2,-1
-2,-3,-2,-3,-4,-6,-9,-3
0,-2,-1,-3,0,-2,-3,-3
-1,1,0,0,2,2,4,2
1,-1,0,-1,-1,-2,-2,0
1,0,0,-1,2,2,2,0
-1,-2,-1,-1,-7,-4,-2,-2
-2,-4,-1,-3,-3,-2,-2,-2
-1,0,-1,-1,3,2,4,2
0,-1,-2,-2,1,-1,-5,-2
-2,-2,-1,0,-3,-7,-5,-1
-1,-1,-1,2,0,3,2,0
-3,-3,-2,-1,-4,-4,-7,-3
0,0,0,-3,-4,-1,3,-1
-2,-2,-2,-1,0,2,3,-1
-2,-1,-1,-3,-3,-4,-3,0
1,1,-1,2,4,3,0,1
1,-2,0,-1,-1,-1,0,-1
-2,-3,-2,-3,-5,-5,-5,-2
-1,-2,0,-1,2,1,1,1
-3,-2,-2,-1,-1,-3,-2,-3
-1,-1,-1,2,1,0,2,0
1,0,0,-1,1,1,-2,-2
-1,0,-3,0,-4,-5,-4,0
